Zeitstempel;ID;Niederschlag_total;Lufttemperatur_Min;Lufttemperatur_Avg;Lufttemperatur_Max;Rel. Feuchte_Min;Rel. Feuchte_Avg;Rel. Feuchte_Max;Luftdruck_Avg;kurzwellige Strahlung  up_Avg;kurzwellige Strahlung  down_Avg;langwellige Strahlung  up_Avg;langwellige Strahlung  down_Avg;Temp. Strahlungsmessgerät_Avg;Windgeschwindigkeit_Ultraschall;Windrichtung_Ultraschall;Windrichtung_Ultraschall_Standardabweichung;Windgeschwindigkeit_Propeller;Windrichtung_Propeller;Windrichtung_Propeller_Standardabweichung;BattV_Min;Temperatur_Logger_Min;Temperatur_Logger_Max;;;
TS;RN;mm;Deg C;Deg C;Deg C;%;%;%;hPa;W/m2;W/m2;W/m2;W/m2;Deg C;m/s;Deg;Deg;m/s;Deg;Deg;V;Deg C;Deg C;;;
;;Tot;Min;Avg;Max;Min;Avg;Max;Avg;Avg;Avg;Avg;Avg;Avg;WVc;WVc;WVc;WVc;WVc;WVc;Min;Min;Max;;;
2026-05-20 17:10:00;0;0.0;15.82;15.88;15.92;67.93;68.58;69.26;1013.113;139.600;11.860;369.5;404.6;16.95;2.380;208.1;37.30;2.427;203.8;25.200;13.69;18.67;18.76;;;
2026-05-20 17:20:00;1;0.0;15.79;15.90;16.00;67.90;69.64;71.11;1013.170;142.500;13.130;369.4;405.8;16.74;1.617;216.8;45.27;1.336;212.8;41.820;13.69;18.33;18.67;;;
2026-05-20 17:30:00;2;0.0;15.72;15.83;15.95;67.14;69.55;74.13;1013.161;140.300;13.240;369.0;403.1;16.60;1.378;212.0;34.93;1.100;213.8;38.360;13.73;18.16;18.33;;;
2026-05-20 17:40:00;3;0.0;15.72;15.87;16.14;65.04;67.22;69.90;1013.162;286.000;29.810;367.0;404.1;16.62;1.816;211.5;26.29;1.654;208.8;25.480;13.73;17.93;18.16;;;
2026-05-20 17:50:00;4;0.0;16.12;16.53;16.86;62.10;65.24;68.62;1013.159;539.300;58.270;347.4;412.0;17.67;2.118;215.7;21.93;1.932;211.3;22.710;13.74;17.87;17.93;;;
2026-05-20 18:00:00;5;0.0;16.83;17.06;17.25;61.02;63.78;66.78;1013.143;481.300;52.330;322.2;415.1;18.71;1.932;208.8;20.99;1.729;204.1;23.410;13.70;17.90;18.09;;;
2026-05-20 18:10:00;6;0.0;16.97;17.11;17.32;60.63;63.24;66.04;1013.209;405.000;43.230;322.6;415.0;18.93;1.723;217.4;35.59;1.563;212.3;32.720;13.71;18.09;18.30;;;
2026-05-20 18:20:00;7;0.0;16.71;16.98;17.32;62.14;64.65;67.87;1013.301;243.400;24.190;330.8;410.9;18.50;1.273;221.2;43.91;0.989;217.4;38.970;13.71;18.30;18.39;;;
2026-05-20 18:30:00;8;0.0;16.87;16.98;17.10;62.23;64.32;67.00;1013.352;181.100;16.320;342.9;408.9;18.17;1.324;213.5;73.36;1.014;208.8;66.340;13.71;18.39;18.40;;;
2026-05-20 18:40:00;9;0.0;16.99;17.35;18.00;59.42;62.38;66.93;1013.464;336.100;34.830;355.8;410.7;18.17;1.050;229.3;91.00;0.685;248.1;92.000;13.70;18.36;18.39;;;
2026-05-20 18:50:00;10;0.0;17.69;17.85;18.03;58.45;60.96;64.12;1013.525;293.200;26.260;347.5;411.6;18.90;1.320;322.8;78.55;0.964;297.7;77.430;13.71;18.37;18.51;;;
